"Status","Name","Duration in ms","Description"
"passed","Tests.RegistrationTest.successfulRegistration","7099","The registration was successful."
"passed","Tests.GetProductsNamesTest.getAllProductsNames","4984","Save all the products names from the current pate to a file"
"passed","Tests.LoginTest.unSuccessfulLogin","6050","The user don't add username and password."
"passed","Tests.SendReviewTest.sendReview","7671","The user send a review and rating the product."
"passed","Tests.PaginationTest.pagination","5228","The user flips through the next page."
"passed","Tests.ChangePhoneNumberTest.changePhoneNumber","8305","The user change the phone number."
"passed","Tests.ShoppingTest.addToChart","5803","The user add a product to the cart."
"passed","Tests.SendReviewTest.sendReview","5730","The user send a review and rating the product."
"passed","Tests.ShoppingTest.removeFromCart","4135","The user remove a product from the cart"
"passed","Tests.LoginTest.SuccessfulLogin","4118","The user successfully logged in."
"passed","Tests.RegistrationTest.unsuccessfulRegistration","4445","The user don't accept Privacy Policy."
"passed","Tests.ListingTest.shouldListToA_Z","5603","List the products to A-Z"
"passed","Tests.LogoutTest.logout","6787","User logout was successful"
"passed","Tests.SendReviewTest.sendReview","5076","The user send a review and rating the product."
"passed","Tests.RegistrationTest.readPrivacyPolicy","5575","The read Privacy Policy."
